Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Locus
ENSG00000171729,568.2738100873146,3.168853515756095,0.4231806997491413,7.4881806226857,6.983487892713711e-14,2.0403423793211895e-11,Prot.218
ENSG00000100439,7073.233471459498,1.9729801383079628,0.2645514115610947,7.457832587872353,8.795732708745883e-14,2.5372905405013915e-11,Prot.218
ENSG00000116717,1628.1550050461103,2.562773011853463,0.3440026263379101,7.4498646685798215,9.343602678920972e-14,2.6616420181241255e-11,Prot.218
ENSG00000196565,499.76762896375857,-4.008518066764249,0.539538516191495,-7.429530879574001,1.0898350379410236e-13,3.0398404065802265e-11,Prot.218
ENSG00000039068,288.0892685708295,-4.738581913880469,0.6378449315214479,-7.4290500397605355,1.0938036479862151e-13,3.0398404065802265e-11,Prot.218
ENSG00000056558,685.5623102296627,2.990835982658682,0.4034421217038153,7.413296286534966,1.2319822457205326e-13,3.3826076382801465e-11,Prot.218
ENSG00000088826,2536.0384441039255,3.250087805860305,0.4385878084551574,7.4103468979407445,1.2596947198184995e-13,3.4175217821361646e-11,Prot.218
ENSG00000138795,511.3940525296623,-3.275290360004816,0.4426189932237528,-7.399796235922237,1.3639362583677312e-13,3.6567933402284975e-11,Prot.218
ENSG00000168671,293.48833435491053,-9.942492166866396,1.3482986283041818,-7.374102411845907,1.6545596811736908e-13,4.384390764449679e-11,Prot.218
ENSG00000026297,12398.988091474426,2.097476294595705,0.2846819287003346,7.367788690245865,1.7348147219496842e-13,4.5442175515530296e-11,Prot.218
ENSG00000090104,395.91286497906435,4.631681434260484,0.6501689748556082,7.12381182951571,1.0498234824444622e-12,2.7186849251621415e-10,Prot.218
ENSG00000142615,363.4671128033366,5.038225541716703,0.709761694910021,7.098474851274437,1.2614113497381304e-12,3.2299217133912645e-10,Prot.218
ENSG00000215704,232.6342039225734,4.745135367310987,0.6687873958410203,7.095132768379758,1.2922736324302534e-12,3.2721804232725605e-10,Prot.218
ENSG00000173599,2426.7825760860233,-2.345845878553914,0.3309352057238022,-7.08853527210324,1.3553883826793816e-12,3.394279764052794e-10,Prot.218
ENSG00000170801,493.30377936648335,3.175315396283757,0.4491682842148985,7.0693223628509125,1.5569209125522573e-12,3.829932434908724e-10,Prot.218
ENSG00000130203,416.81963202452533,4.4180639278771485,0.6250103897579448,7.068784775862982,1.5629633439225564e-12,3.829932434908724e-10,Prot.218
ENSG00000077044,1639.307754182176,2.2849073336577996,0.32379052864747165,7.056745431073132,1.7044746381271866e-12,4.1322630349234526e-10,Prot.218
ENSG00000069535,5999.597496095942,-2.189440979557571,0.3103818847706464,-7.054023082485747,1.7381752596353694e-12,4.1696079991400457e-10,Prot.218
